날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2023-09-26",159,23.6,22.7,26.9
"	2023-09-27",159,25.1,22.2,28.8
"	2023-09-28",159,25.1,22.1,29.3
"	2023-09-29",159,24.3,20.5,28.6
"	2023-09-30",159,20.3,16.6,22.9
"	2023-10-01",159,21,18.2,26
"	2023-10-02",159,20.4,17,26.1
"	2023-10-03",159,19.7,17.9,22.5
"	2023-10-04",159,21.2,16.9,26.5
"	2023-10-05",159,18.4,15.4,22.7
"	2023-10-06",159,18.2,13.8,23.7
"	2023-10-07",159,19.3,16.9,23.8
"	2023-10-08",159,18.7,17.4,20.7
"	2023-10-09",159,19.6,17.4,24.1
"	2023-10-10",159,19.5,15.8,24.7
"	2023-10-11",159,19.8,16.8,24.5
"	2023-10-12",159,19.3,16.4,23.9
"	2023-10-13",159,20.2,17.1,24.1
"	2023-10-14",159,19.7,17,24.4
"	2023-10-15",159,18.4,13.9,23.7
"	2023-10-16",159,18.7,14.8,24
"	2023-10-17",159,16.7,11.9,22.8
"	2023-10-18",159,18.6,13.6,23.4
"	2023-10-19",159,19.5,16.7,23.4
"	2023-10-20",159,14.8,11.4,19.6
"	2023-10-21",159,13.7,8.8,18.7
"	2023-10-22",159,15,11.8,20.1
"	2023-10-23",159,17.4,13,23
"	2023-10-24",159,17.2,14.5,22.9
"	2023-10-25",159,18.5,14.6,24.2
"	",,,,
